LINE,STATION,IN_WEEKDAY,IN_FRI,IN_SAT,IN_SUN,OUT_WEEKDAY,OUT_FRI,OUT_SAT,OUT_SUN,ANNUALISED_INANDOUT
LU,Ruislip,1968.473684,2009.090909,1604.2,857.5,2011.578947,2022.545455,1583,884.5,821706.2836
LU,Ruislip Gardens,1213.65,1197,953.5,560.6,1101.8,1068.375,824.6666667,565.6,476607.2956
LU,Ruislip Manor,2013.75,2122.222222,1683.375,842,2044.3,2080.888889,1556,895.3333333,839241.8595
LU,Russell Square,8556.315789,8682.75,6798.454545,5140.727273,8788.947368,9052.875,6824.363636,4804.727273,3655413.682
LU,Seven Sisters,17155.94444,18199.8,15129.5,11293.5,16807.38889,17214.2,14343.375,10955.33333,7364300.125
LU,Shepherd's Bush LU,17220.65,18441.4,19127.88889,12404.44444,16202.4,17142.1,17504.77778,11332.77778,7584135.195
LU,Shepherd's Bush Market,3837.1,4212.777778,3969.25,2304.375,3659.4,3844.222222,3568.875,2264.875,1656235.706
LU,Sloane Square,17263.35,17252,15356,9790.4,17237.2,17391.4,15911.1,9765.2,7380127.818
LU,Snaresbrook,2701.888889,2584.666667,2107.875,1329.888889,2565.666667,2394.777778,1928.375,1406.444444,1083967.615
LU,South Ealing,3560.2,3626.75,2888.333333,1917.125,3563.8,3450.625,2847.888889,2047.125,1495186.473
LU,South Harrow,2409,2410,1807.166667,1226.75,2518.25,2481.2,1795,1267.625,1013771.873
LU,South Kensington,24346.7,25156.55556,23717.54545,17939.45455,23982,25625.88889,24357.09091,17648.09091,10824382.96
LU,South Kenton,1329.901674,1422.104983,1203.688635,772.1918889,1610.570944,1864.088324,1075.846921,866.9893337,626385.9904
LU,South Ruislip,2173.933333,2158.5,1635.25,1108.666667,2132.133333,2064.4,1577,1128.666667,888275.6655
LU,South Wimbledon,4713.684211,4614.375,3785,2563,4581.842105,4387.125,3568.3,2560.8,1937292.684
LU,South Woodford,5613.733333,5505.3,4617,2898.363636,5864.333333,5567.1,4554.7,3026.909091,2380524.272
LU,Southfields,6716.789474,6328.75,5389.6,3396.1,6433.052632,5713.875,4788.5,3404.4,2695551.951
LU,Southgate,5180.35,5459.5,4617.6,3275.454545,5524.9,5672.8,4689.6,3477.636364,2312226.163
LU,Southwark,12165.15,10764,8750.272727,6004.727273,12740.65,11675.77778,9618.272727,5997.727273,5034191.605
LU,St. James's Park,10243.65,8304.909091,5215.545455,3768.222222,10461,8706.818182,5503.636364,3832.888889,3901970.342
LU,St. John's Wood,8394.526316,8436.2,5877.3,4047,8601.052632,8460.5,5859.6,4226.9,3464027.101
LU,St. Paul's,13695.9,11714.6,8456.875,5552.818182,14064,12073.7,8374.25,5085.454545,5359931.596
LU,Stamford Brook,2962.947368,2949.5,2479.5,1652.6,2880.263158,2709.6,2270.6,1623.7,1223866.21
LU,Stanmore,3942.4,4099.111111,3730.285714,2357.5,4083.1,4003.222222,3463.571429,2599,1729034.085
