LINE,STATION,IN_MON,IN_TUE_TO_THU,IN_FRI,IN_SAT,IN_SUN,OUT_MON,OUT_TUE_TO_THU,OUT_FRI,OUT_SAT,OUT_SUN,ANNUALISED_INANDOUT
LO,Surrey Quays,6470.9509,7330.775804,7609.15678,7150.331492,4298.192564,5911.93214,6644.268759,6796.607903,6861.412243,3969.90612,4280981.096
LO,Sydenham,3311.672466,3311.672466,3075.525421,3062.770366,1943.684317,4036.001185,4036.001185,3784.364685,2830.349018,2219.304912,2178593.075
LO,Theobalds Grove,1037.53801,1096.64989,1055.756527,714.4105414,456.817308,960.2367388,991.460161,937.4016986,658.1384782,438.9919961,589199.3793
LO,Turkey Street,1453.636713,1521.559307,1566.792492,992.6252141,714.4804446,1350.995538,1414.70064,1412.044319,884.9743106,719.8280382,842337.672
LO,Upminster,0,0,0,0,0,0,0,0,0,0,0
LO,Upper Holloway,2827.224776,2827.224776,2716.728928,2112.479571,1394.504661,2862.153833,2862.153833,3012.719105,2158.225044,1388.167018,1672067.91
LO,Walthamstow Central,0,0,0,0,0,0,0,0,0,0,0
LO,Walthamstow Queen's Road,1954.95105,1954.95105,2002.056954,1554.577398,973.2954585,1915.879184,1915.879184,1959.2963,2713.872095,1641.750551,1238662.579
LO,Wandsworth Road,1110,1277.311886,1320,874.2439203,552.5056458,1127,1252.36078,1285,833.0149628,563.2179977,717655.6459
LO,Wanstead Park,1951.392691,2067.736185,2042.633843,1686.851211,1085.666352,1958.874921,2085.771207,2023.372239,1678.200692,1137.045192,1224378.608
LO,Wapping,2972.865914,3498.689315,3545.955518,3622.942225,2354.251861,2902.147193,3395.407361,3328.2071,3446.995911,2354.120793,2126986.382
LO,Watford High Street,1938.333333,1974.3,2087.777778,2032.8,1341.833333,1823.888889,1902.4,2038.25,2118.8,1270.142857,1236486.959
LO,Watford Junction,2538.735809,2538.735809,2386.59446,2940.324822,2516.442752,2505.815973,2505.815973,2236.209388,2659.78137,2597.571229,1670881.966
LO,Wembley Central,0,0,0,0,0,0,0,0,0,0,0
LO,West Brompton,0,0,0,0,0,0,0,0,0,0,0
LO,West Croydon NR,4663.111111,5022.25,4886.625,4026.5,2782.666667,4368.111111,4652.625,4595.75,3592.25,2408.857143,2839218.396
LO,West Hampstead LO,6766.671909,7458.713432,7050.435147,4342.03628,3541.994338,6769.817553,7520.708818,7099.06155,4192.09395,3637.150047,4156019.614
LO,White Hart Lane,2671.524938,2633.165566,2813.057041,2031.037014,1249.1699,2547.132222,2177.702632,2639.718989,1839.502289,1219.111531,1479293.573
LO,Whitechapel,0,0,0,0,0,0,0,0,0,0,0
LO,Willesden Junction,0,0,0,0,0,0,0,0,0,0,0
LO,Wood Street,3373.169938,3373.169938,2995.925824,2402.426926,1702.620531,3114.379292,3114.379292,2681.983148,2058.020048,1757.562316,1860651.141
LO,Woodgrange Park,1476.937775,1533.710811,1543.612097,1223.655237,884.9743106,1361.481015,1369.193667,1383.933252,1033.868093,800.0419419,866475.6404
LO,Barking Riverside,1048.198245,1236.762085,1072.66436,720.0027961,380.2733214,953.8788778,1110.994606,901.9008673,638.9151026,357.9043025,617116.4603
DLR,Abbey Road,1936.5,2039.954545,2040.5,1545.055556,1160.285714,1934.125,2043.909091,2025.85,1508,1172.785714,1249246.314
DLR,All Saints,2618.5,2618.791667,2599.6,2202.0625,1567.125,2621.666667,2617.791667,2528.2,2128.1875,1573.8125,1638762.391
DLR,Bank and Monument,0,0,0,0,0,0,0,0,0,0,0
DLR,Beckton,3207.5,3315.666667,3328.6,2699.375,1688.25,3343,3492.333333,3363,2703.125,1647.625,2071330.213
DLR,Beckton Park,765.6666667,775.0555556,791.4285714,550.1666667,369,808.4375,853.1,826.6875,553.3333333,412.1666667,486581.9614
DLR,Blackwall,1973.8125,2139.25,2031.722222,1570.916667,1389.5,2128.25,2316.5,2172.222222,1683,1458.8,1356747.788
DLR,Bow Church,5141.3125,5166.75,4747.5,3754.9,2837.083333,3247,3516.8,3333.5625,2736,2239.5,2642011.018
DLR,Canary Wharf DLR,15062.3125,18255.81818,15809.44444,14306.35714,9878.785714,16335.75,19898.65,17695.6,16710.14286,11004.14286,11296640.95
DLR,Canning Town,0,0,0,0,0,0,0,0,0,0,0
DLR,Crossharbour,4992.611111,5461.083333,5382.5,4622.857143,3254.785714,5048.777778,5380.041667,5169.2,4381.785714,3137.785714,3346685.736
DLR,Custom House DLR,5783.1,6340.9375,6889.375,5805.785714,3210.625,3980.7,5934.888889,5266.0625,4454.928571,2603.125,3654788.149
DLR,Cutty Sark,9232.9375,8679.875,9295.642857,10520,7170,10231,10471.70833,10256,10203.5,7208.2,6426895.315
DLR,Cyprus,4324.333333,3728.583333,3206.45,1092.25,809.875,4366.555556,3786.583333,3156.05,1062.625,820.4,2021484.999
DLR,Deptford Bridge,3969.444444,4302.944444,4430.071429,4052.875,2936.25,4074.333333,4357.611111,4474.714286,3881.5,2866.583333,2768032.795
DLR,Devons Road,3326.055556,3590.636364,3469.590909,2832.8125,2077.5,3314.944444,3535.454545,3306.35,2662.0625,2088,2171520.904
DLR,East India,6020.625,6742.375,6321.318182,4062.0625,2807.071429,6514.5,7301.458333,6757.545455,4063.8125,2731.928571,3976649.773
DLR,Elverson Road,2060.833333,2253.090909,2210.611111,1949,1347.5,1903.666667,2111.136364,1970.666667,1697.875,1310,1345384.077
DLR,Gallions Reach,2484.055556,2661.958333,2661.4,2216.4,1570,2595.611111,2854,2717.9,2191.8,1658,1692207.695
DLR,Greenwich,6835.555556,7544.875,7367.2,7316.75,5364.714286,6858.944444,7309.583333,7298.4,7575.416667,5680.285714,4829043.019
DLR,Heron Quays,7632.714286,8189.722222,7266.222222,6609.916667,5220,8188,9120.055556,8181.9,7347.166667,5473.75,5268097.264
DLR,Island Gardens,3373.277778,3592.958333,3604.75,3453.357143,2351,3070.611111,3402.75,3130.055556,2858.357143,2031.142857,2191259.377
DLR,King George V,2504.166667,2529.833333,2574.944444,2146.6875,1559.8125,2617.5,2631.25,2598.5,2096.8125,1596.5625,1620656.378
DLR,Langdon Park,5673.388889,6236.409091,6359.166667,5146.777778,3947.388889,5713,6142.227273,6302.777778,5134.833333,3709.722222,3864917.258
DLR,Lewisham DLR,10528.55556,11641,10825.95,9019.083333,6736.928571,10729.61111,11633.75,10776.4,8898.666667,6590.5,7030542.04
DLR,Limehouse DLR,9016.5,10387.79167,9592.25,7123.5625,4714.25,13087.33333,14883.68182,14100.27778,9627.2,7077.583333,7334537.858
DLR,London City Airport,5793.428571,5636.285714,5940.5,2312.583333,3059.833333,5083,5151.125,5966.875,2433.166667,3043.285714,3223651.281
DLR,Mudchute,2257.9375,2513.65,2530.444444,2301.714286,1693.333333,2215,2378.35,2282.75,2169.714286,1732.7,1556244.696
DLR,Pontoon Dock,3633.9375,4117.041667,4122.444444,6088.5,2863.928571,3748.6875,4185.416667,4049.833333,5276.6,2828.785714,2809682.34
DLR,Poplar,1829.084313,1829.084313,1745.767308,1096.282172,1431.682632,1898.811622,1898.811622,2105.363836,1185.672439,1488.359911,1170603.624
DLR,Prince Regent,2043.928571,2380.5,2584.833333,2262.5,1662,2111.357143,2416,2627.833333,2296,1496.4,1537426.817
DLR,Pudding Mill Lane,3441.571429,3798.4,3575.0625,4562.142857,4332.1875,3535.928571,3793.9,3436.0625,4205.785714,4125.125,2637285.452
DLR,Royal Albert,1852.714286,1902.0625,1949.625,2231.666667,1536.6,1975.928571,2099.5,2190,2376.333333,1383.5,1343343.288
DLR,Royal Victoria,4094.3125,4002,4433.75,5039.071429,3529.5,3496.875,3534.85,3830.611111,3940.333333,2775.428571,2625545.857
DLR,Shadwell DLR,7734.4375,8209.083333,8002.5,6279.214286,4948,7594.1875,8276.916667,8155.833333,6291.642857,4980.928571,5052962.541
DLR,South Quay,5778.5,6894.666667,6209.4375,4358.6,3136.5,5881.928571,7084.875,6084,4133.1,3105.875,3938363.635
DLR,Star Lane,2243.1875,2480.291667,2322.25,1357.083333,1058,2424.9375,2697.875,2562.3125,1445.5,1129.166667,1469167.331
DLR,Stratford,0,0,0,0,0,0,0,0,0,0,0
